seed,difficulty,prompt,image_path,gold_label,target_shape,target_color,target_cluster_id,num_items
2018,medium,Count the yellow triangles in the same cluster as the starred item. Ignore all other items. Respond with a number only.,images/medium/medium_2018.png,5,triangle,yellow,3,24
2019,medium,Count the yellow circles in the same cluster as the starred item. Ignore all other items. Respond with a number only.,images/medium/medium_2019.png,3,circle,yellow,3,22
3000,hard,Count the blue triangles in the same cluster as the starred item. Ignore all other items. Respond with a number only.,images/hard/hard_3000.png,3,triangle,blue,3,28
3001,hard,Count the yellow circles in the same cluster as the starred item. Ignore all other items. Respond with a number only.,images/hard/hard_3001.png,1,circle,yellow,3,38
3002,hard,Count the green circles in the same cluster as the starred item. Ignore all other items. Respond with a number only.,images/hard/hard_3002.png,1,circle,green,2,27
3003,hard,Count the yellow squares in the same cluster as the starred item. Ignore all other items. Respond with a number only.,images/hard/hard_3003.png,4,square,yellow,3,36
3004,hard,Count the blue triangles in the same cluster as the starred item. Ignore all other items. Respond with a number only.,images/hard/hard_3004.png,4,triangle,blue,0,34
3005,hard,Count the green squares in the same cluster as the starred item. Ignore all other items. Respond with a number only.,images/hard/hard_3005.png,4,square,green,1,30
3006,hard,Count the red squares in the same cluster as the starred item. Ignore all other items. Respond with a number only.,images/hard/hard_3006.png,2,square,red,1,33
3007,hard,Count the blue circles in the same cluster as the starred item. Ignore all other items. Respond with a number only.,images/hard/hard_3007.png,4,circle,blue,4,38
3008,hard,Count the yellow circles in the same cluster as the starred item. Ignore all other items. Respond with a number only.,images/hard/hard_3008.png,4,circle,yellow,4,36
3009,hard,Count the blue triangles in the same cluster as the starred item. Ignore all other items. Respond with a number only.,images/hard/hard_3009.png,4,triangle,blue,4,34
3010,hard,Count the green squares in the same cluster as the starred item. Ignore all other items. Respond with a number only.,images/hard/hard_3010.png,3,square,green,0,31
3011,hard,Count the red squares in the same cluster as the starred item. Ignore all other items. Respond with a number only.,images/hard/hard_3011.png,3,square,red,3,31
3012,hard,Count the red circles in the same cluster as the starred item. Ignore all other items. Respond with a number only.,images/hard/hard_3012.png,4,circle,red,4,34
3013,hard,Count the green triangles in the same cluster as the starred item. Ignore all other items. Respond with a number only.,images/hard/hard_3013.png,2,triangle,green,2,36
3014,hard,Count the blue triangles in the same cluster as the starred item. Ignore all other items. Respond with a number only.,images/hard/hard_3014.png,0,triangle,blue,0,35
3015,hard,Count the yellow circles in the same cluster as the starred item. Ignore all other items. Respond with a number only.,images/hard/hard_3015.png,4,circle,yellow,0,36
3016,hard,Count the yellow triangles in the same cluster as the starred item. Ignore all other items. Respond with a number only.,images/hard/hard_3016.png,3,triangle,yellow,4,37
3017,hard,Count the yellow squares in the same cluster as the starred item. Ignore all other items. Respond with a number only.,images/hard/hard_3017.png,0,square,yellow,0,36
3018,hard,Count the blue triangles in the same cluster as the starred item. Ignore all other items. Respond with a number only.,images/hard/hard_3018.png,1,triangle,blue,0,36
3019,hard,Count the blue circles in the same cluster as the starred item. Ignore all other items. Respond with a number only.,images/hard/hard_3019.png,0,circle,blue,3,35
